ID,DSC,ORDER,KM,CCW,CW,CCW_BRANCH,CW_BRANCH,CHENG_ZHUI_CCW,CHENG_ZHUI_CW,CCW_KM,CW_KM,CCW_BRANCH_KM,CW_BRANCH_KM,CHENG_ZHUI_CCW_KM,CHENG_ZHUI_CW_KM
4310,岡山,109,378.4,4320,4300,,,,,3.6,7.8,,,,
4320,橋頭,110,382,4330,4310,,,,,4.2,3.6,,,,
4330,楠梓,111,386.2,4340,4320,,,,,5.1,4.2,,,,
4340,新左營,112,391.3,4350,4330,,,,,1.9,5.1,,,,
4350,左營,113,393.2,4360,4340,,,,,1.1,1.9,,,,
4360,內惟,114,394.3,4370,4350,,,,,1.7,1.1,,,,
4370,美術館,115,396,4380,4360,,,,,1.2,1.7,,,,
4380,鼓山,116,397.2,4390,4370,,,,,1.6,1.2,,,,
4390,三塊厝,117,398.8,4400,4380,,,,,1,1.6,,,,
4400,高雄,118,399.8,4410,4390,,,,,1.6,1,,,,
4410,民族,119,401.4,4420,4400,,,,,1,1.6,,,,
4420,科工館,120,402.4,4430,4410,,,,,1.8,1,,,,
4430,正義,121,404.2,4440,4420,,,,,1.4,1.8,,,,
4440,鳳山,122,405.6,4450,4430,,,,,3.7,1.4,,,,
4450,後庄,123,409.3,4460,4440,,,,,4.3,3.7,,,,
4460,九曲堂,124,413.6,4470,4450,,,,,5,4.3,,,,
4470,六塊厝,125,418.6,5000,4460,,,,,2.2,5,,,,
5000,屏東,126,420.8,5010,4470,,,,,2.6,2.2,,,,
5010,歸來,127,423.4,5020,5000,,,,,2.3,2.6,,,,
5020,麟洛,128,425.7,5030,5010,,,,,2.4,2.3,,,,
5030,西勢,129,428.1,5040,5020,,,,,3.7,2.4,,,,
5040,竹田,130,431.8,5050,5030,,,,,4.1,3.7,,,,
5050,潮州,131,435.9,5998,5040,,,,,1.6,4.1,,,,
5998,潮州機廠(南方小站),132,437.5,5060,5050,,,,,3.2,1.6,,,,
5060,崁頂,133,440.7,5070,5998,,,,,2.4,3.2,,,,
5070,南州,134,443.1,5080,5060,,,,,3.6,2.4,,,,
5080,鎮安,135,446.7,5090,5070,,,,,3.2,3.6,,,,
5090,林邊,136,449.9,5100,5080,,,,,4,3.2,,,,
5100,佳冬,137,453.9,5110,5090,,,,,3.1,4,,,,
5110,東海,138,457,5120,5100,,,,,4.1,3.1,,,,
5120,枋寮,139,461.1,5130,5110,,,,,5.3,4.1,,,,
5130,加祿,140,466.4,5140,5120,,,,,3.4,5.3,,,,
5140,內獅,141,469.8,5160,5130,,,,,4.9,3.4,,,,
5160,枋山,142,474.7,5170,5140,,,,,6.9,4.9,,,,
5170,枋野,143,481.6,5190,5160,,,,,23.3,6.9,,,,
5190,大武,144,504.9,5200,5170,,,,,11.7,23.3,,,,
5200,瀧溪,145,516.6,5210,5190,,,,,8.4,11.7,,,,
5210,金崙,146,525,5220,5200,,,,,11,8.4,,,,
