time,ax,ax1
02:25:00,145,290
02:25:30,145.5,291
02:26:00,146,292
02:26:30,146.5,293
02:27:00,147,294
02:27:30,147.5,295
02:28:00,148,296
02:28:30,148.5,297
02:29:00,149,298
02:29:30,149.5,299
02:30:00,150,300
02:30:30,150.5,301
02:31:00,151,302
02:31:30,151.5,303
02:32:00,152,304
02:32:30,152.5,305
02:33:00,153,306
02:33:30,153.5,307
02:34:00,154,308
02:34:30,154.5,309
02:35:00,155,310
02:35:30,155.5,311
02:36:00,156,312
02:36:30,156.5,313
02:37:00,157,314
02:37:30,157.5,315
02:38:00,158,316
02:38:30,158.5,317
02:39:00,159,318
02:39:30,159.5,319
02:40:00,160,320
02:40:30,160.5,321
02:41:00,161,322
02:41:30,161.5,323
02:42:00,162,324
02:42:30,162.5,325
02:43:00,163,326
02:43:30,163.5,327
02:44:00,164,328
02:44:30,164.5,329
02:45:00,165,330
02:45:30,165.5,331
02:46:00,166,332
02:46:30,166.5,333
02:47:00,167,334
02:47:30,167.5,335
02:48:00,168,336
02:48:30,168.5,337
02:49:00,169,338
02:49:30,169.5,339
02:50:00,170,340
02:50:30,170.5,341
02:51:00,171,342
02:51:30,171.5,343
02:52:00,172,344
02:52:30,172.5,345
02:53:00,173,346
02:53:30,173.5,347
02:54:00,174,348
02:54:30,174.5,349
02:55:00,175,350
02:55:30,175.5,351
02:56:00,176,352
02:56:30,176.5,353
02:57:00,177,354
02:57:30,177.5,355
02:58:00,178,356
02:58:30,178.5,357
02:59:00,179,358
02:59:30,179.5,359
03:00:00,180,360
03:00:30,180.5,361
03:01:00,181,362
03:01:30,181.5,363
03:02:00,182,364
03:02:30,182.5,365
03:03:00,183,366
03:03:30,183.5,367
03:04:00,184,368
03:04:30,184.5,369
03:05:00,185,370
03:05:30,185.5,371
03:06:00,186,372
03:06:30,186.5,373
03:07:00,187,374
03:07:30,187.5,375
03:08:00,188,376
03:08:30,188.5,377
03:09:00,189,378
03:09:30,189.5,379
03:10:00,190,380
03:10:30,190.5,381
03:11:00,191,382
03:11:30,191.5,383
03:12:00,192,384
03:12:30,192.5,385
03:13:00,193,386
03:13:30,193.5,387
03:14:00,194,388
03:14:30,194.5,389
03:15:00,195,390
03:15:30,195.5,391
03:16:00,196,392
03:16:30,196.5,393
03:17:00,197,394
03:17:30,197.5,395
03:18:00,198,396
03:18:30,198.5,397
03:19:00,199,398
03:19:30,199.5,399
03:20:00,200,400
03:20:30,200.5,401
03:21:00,201,402
03:21:30,201.5,403
03:22:00,202,404
03:22:30,202.5,405
03:23:00,203,406
03:23:30,203.5,407
03:24:00,204,408
03:24:30,204.5,409
03:25:00,205,410
03:25:30,205.5,411
03:26:00,206,412
03:26:30,206.5,413
03:27:00,207,414
03:27:30,207.5,415
03:28:00,208,416
03:28:30,208.5,417
03:29:00,209,418
03:29:30,209.5,419
03:30:00,210,420
03:30:30,210.5,421
03:31:00,211,422
03:31:30,211.5,423
03:32:00,212,424
03:32:30,212.5,425
03:33:00,213,426
03:33:30,213.5,427
03:34:00,214,428
03:34:30,214.5,429
03:35:00,215,430
03:35:30,215.5,431
03:36:00,216,432
03:36:30,216.5,433
03:37:00,217,434
03:37:30,217.5,435
03:38:00,218,436
03:38:30,218.5,437
03:39:00,219,438
03:39:30,219.5,439
03:40:00,220,440
03:40:30,220.5,441
03:41:00,221,442
03:41:30,221.5,443
03:42:00,222,444
03:42:30,222.5,445
03:43:00,223,446
03:43:30,223.5,447
03:44:00,224,448
03:44:30,224.5,449
03:45:00,225,450
03:45:30,225.5,451
03:46:00,226,452
03:46:30,226.5,453
03:47:00,227,454
03:47:30,227.5,455
03:48:00,228,456
03:48:30,228.5,457
03:49:00,229,458
03:49:30,229.5,459
03:50:00,230,460
03:50:30,230.5,461
03:51:00,231,462
03:51:30,231.5,463
